html_filename,image1,image2,image3,image4,product_title,short_description,price,Product,Category,Brand,Color,Technology,Weight,Charge Time,Play Time,Water Resistance,Warranty,label,description2,Frequency,Range,Cable Length,Cost,Model,Colour,Connection,Connector-type,LED,Microphone size,MRP,Price,Product name,Channel,Plug type,Driver size,Cable length,Freq. range,Speaker Sensitivity,Microphone Sensitivity,Impedance,Directivity,Size,Selling Price,Driver Size,,Bluetooth Version,Microphone,Frequency Response,Charging Time,Total battery Life,Additional Features,Battery,Dimensions,Frequency Range,Insurance,Show_countdown,System Required,Product Name,Series,Item model number,Item weight,Product Dimensions,Batteries
digicom-wired-headphone-dg-w7.html,https://www.neostore.com.np/assets/uploads/w72.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/C-_Users_DELL_Desktop_3DIGICOM-Wired-Headphone-DG-W7-Grey.jpg,https://www.neostore.com.np/assets/uploads/w72.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/06/C-_Users_DELL_Desktop_3DIGICOM-Wired-Headphone-DG-W7-Grey.jpg,Digicom Wired Headphone DG-W7,SPEAKER SIZE: 40MM FREQUENCY RANGE 20Hz – 20KHz SENSITIVITY: 100 + 3dB IMPEDANCE: 320 + 15% CABLE LENGTH: 1.5M + 10% CONNECTOR: 3.5MM,"Current Price: Rs., Original Price: Rs.",,Headphone,Digicom,"Black, Blue, Gray",Wired,N/a,N/a,N/a,N/a,1 Year,,"Sleek Design And Color The Digicom DG-W7 Wired Headphone is extremely light. The headset is also available in a variety of fashionable colors. Easy Handling Flexible Rotation Axis powers the headset, which is flat-foldable for simple storage. Similarly, with the Digicom Wired Headphone DG-W7, you may listen to music on the go. Also, the headphone can perfectly fit in if you are searching for a travel headphones. Enjoy All-Day Wearing Comfort The earmuffs that come with the headphones are quite comfortable. The Soft Earmuff of this Digicom Headphone, in particular, gives the comfort you desire. Guaranteed Quality The Digicom DG-W7 Headphone provides crystal clear sound and strong bass. Also, among the identical headphones available in Nepali Market, the vibrant mids and expanded hinges ensure the highest comfort. Built-In Inline Microphone Hand-free calling is possible because of the built-in microphone. As a result, you can use the headset whenever and wherever you choose. Other Important Features Technical Details Also, explore our headphone collection here!!! Explore our other Digicom Products",20Hz-20kHz,N/a,1.5 Meters + 10%,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-chief-ii-hg20-rgb-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0010_HG20.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0008_HG20-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0007_HG20-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0006_HG20-4.jpg,Fantech Chief II HG20 RGB Gaming Headset,"Over Ear Design Encapsulated all the Sounds Around You Noise Cancelling Microphone Volume Control Located on Headset Perfect Comfort & Suspension Headband RGB Lighting Effects The Chief II HG20 RGB Gaming Headset is for gaming enthusiasts who want to take their gameplay to a higher level. It features RGB lighting effects, noise-canceling microphone, 50 mm driver unit, and easy volume control. Its designs for perfect comfort over long gameplay sessions.","Current Price: Rs.3,200, Original Price: Rs.4,999",Fantech,Headset,,,,,,,,,,HG20 is designed with running RGB lights to enhance your gaming experience. Noise Cancelling Microphone Be heard loud and clear without the distraction of background noise. Adjust the mic to pick up only your voice. Filters ambient noise. Suspension Headband Headband construction ensures balanced weight distribution and reduced clamping force even for user with larger head. Over-ear Design Encapsulate all the sounds around you.,,,2 m,,HG20,Black,Wired,3.5MM Jack,RGB,-,"3,999",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-headphone-bluetooth-dual-mode-headset-wireless-go-vibe-wh05.html,https://www.neostore.com.np/assets/uploads/wh05_3.jpg,https://www.neostore.com.np/assets/uploads/wh05_2.jpg,https://www.neostore.com.np/assets/uploads/wh05_.jpg,https://www.neostore.com.np/assets/uploads/wh05_3.jpg,Fantech Headphone Bluetooth Dual Mode Headset Wireless GO VIBE WH05,Effective Range : 10m Driver Unit : 40mm Speaker Sensitivity : 105±3dB Speaker Frequency Response: 20-20KHz Microphone Sensitivity : -42 ±3dB Microphone Impedance: 2.2KQ Battery Life : Up to 20 hours Charging Time : Approx. 2 hours Weight : 214.5g,"Current Price: Rs.2,999, Original Price: Rs.3,999",,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-hg11-captain-7-1-rgb-led-light.html,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-21.jpg,https://www.neostore.com.np/assets/uploads/uploads/2020/10/1-21.jpg,,,Fantech Hg11 Captain 7.1 RGB LED LIGHT,"USB Wired Gaming Headset Medium size On Ear headset Noise cancelling microphone 360° surround lossless pure sound There is inline volume control, you could easily adjust the volume Chroma Lightning","Current Price: Rs.4,199, Original Price: Rs.4,999",,,,,,447gr (680gr with packing),,,,,,,,,,,,,,,RGB,,,,Full-Size 7.1 Gaming Headphones,Virtual 7.1 (SSS Chipset),USB Plug + Remote,50 mm,2.1m Plastic cable,20-20K Hz,110+/-3dB,58+/-3dB,32+/-15%,Omni directial,250*200*120mm,,,,,,,,,,,,,,,,,,,,,
fantech-hg15-captain-7-1-stereo-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0011_HG15.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0015_HG15-1.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0014_HG15-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0013_HG15-3.jpg,Fantech HG15 Captain 7.1 Stereo Gaming Headset,Lightweight for a long time Volume adjuster Full-Size Over-Ear Headset Connect with a USB Advance 7.1 Virtual Surround Sound Engine RGB LED Light Programmable Support Noise cancellation Microphone,"Current Price: Rs.3,499, Original Price: Rs.3,999",Fantech,Headset,,,,,,,,,,"GAME ON! Lightweight & Durable With only 264gr weight, but still flexible and incredibly durable. It has been tested extensively to withstand the rigors of pro-gaming Suspension Headband Headband construction that ensures balanced weight distribution and reduced clamping force even for user with larger head Dedicated RGB toggle Simply turn on/off your RGB settings with a single touch",,,2.5m,,HG15,Black,Wired,USB,RGB,-,"3,999",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-mh84-jade-rgb-gaming-headset.html,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0057_mh84.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0055_mh84-2.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0054_mh84-3.jpg,https://www.neostore.com.np/assets/uploads/uploads/2021/02/fantech_0057_mh84.jpg,FANTECH MH84 Jade RGB Gaming Headset,"The Fantech MH84 Jade 3.5mm RGB Gaming Headphone equipped with easy audio control with Multi-Platform Compatibility, RGB Lighting and In-line Remote Control. This headphone has Adjustable Earcup Angle Multi Platform compatibility Use on pc, Xbox, Playstation, switch and mobile devices, Speaker Driver: 50mm Multi-Platform Compatibility Wire Length: 2.2m Comfortable Ear Cups LED: RGB Lighting, 22ohm and Sensitivity:100 ± 3dB and Omni Directional Microphone Directivity. This headphone comes with Finest Leather Grade & Over-Ear Ear Cups, Noise Cancelling & Foldable Microphone, Powered from Single TRRS 3.5mm Jack & USB and Audio Control Unit for Total Sound Customization Mastery.","Current Price: Rs.3,999, Original Price: Rs.6,999",,Headset,Fantech,,,348 Grams,,,,,,"Fantech Jade Gaming Headset is one of the best product available in the market. The Fantech is innovators of Gaming Gear and Lifestyle Products. It is Multi-Platform Compatibility, which allows us to use it on a variety of devices. It also has an Audio Control Unit for complete sound customization. Similarly, You may free up your hands to accomplish other things by wearing a headset. As a result, you'll be able to do more tasks in less time, boosting workplace efficiency and productivity. Features: Compatibility Especially, This headphone has Adjustable Earcup Angle Multi Platform compatibility. Therefore, we can Use on PC, Xbox, Playstation, switch and mobile devices. Pinpoint Audio Precision This gaming headset immerses you in the action for a totally immersive gaming experience. Also, gives you the benefit of sound precision, putting you right in the middle of the action. Design It is Extreme Durable & Flexible Headband Design makes it more attractive. Also, it has RGB Lighting Mode. It has Finest Leather Grade & Over-Ear Ear Cups. Therefore, This headphone comes with Finest Leather Grade & Over-Ear Ear Cups, Noise Cancelling and Foldable Microphone. Cinematic Audio Experience A bio-cellulose driver diaphragm with a rubber surround delivers a secure audio experience with clear highs and strong lows. Especially, It creates a strong rhythmic bottom sound. Clarity in Communication The Microphone with LED Display reduces background disturbances. Also, it allows you to have simple discussions with family, business associates or best friends. Snug Fit and Durability Therefore, The adjustable and suspended headband ensures a secure fit over long sessions of gaming. Also, it has features as Also, you can get other products here!!!!!!!!!",,,2.2 m,,MH84,-,Wired,USB + 3.5 mm Single Jacked,RGB,,,,,,,,,,,,,,,"5,200",,,,,,,,,,,,,,,,,,,,
fantech-portal-7-1-hg28-virtual-surround-gaming-headset.html,https://www.neostore.com.np/assets/uploads/HG28_2.jpg,https://www.neostore.com.np/assets/uploads/HG28_.jpg,https://www.neostore.com.np/assets/uploads/HG28_2.jpg,https://www.neostore.com.np/assets/uploads/HG28_.jpg,Fantech Portal 7.1 HG28 Virtual Surround Gaming Headset,247.5g Lightweight Leatherette Ear Padded Cushions Easy Volume Control Running RGB Circular Lighting Effect,"Current Price: Rs.2,799, Original Price: Rs.3,699",Fantech Portal 7.1 HG28 Virtual Surround Gaming Headset,Headphone,Fantech,Black,Wired Gaming Headset,767gram,n/a,n/a,no,1 Year,,,20 Hz – 20 kHz,Wired,2 meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-portal-hq55-gaming-headset-.html,https://www.neostore.com.np/assets/uploads/hq55.jpg,https://www.neostore.com.np/assets/uploads/hq55_23.jpg,https://www.neostore.com.np/assets/uploads/hq55_2.jpg,https://www.neostore.com.np/assets/uploads/hq55.jpg,Fantech Portal HQ55 Gaming Headset,247.5g Lightweight Leatherette Ear Padded Cushions Easy Volume Control Running RGB Circular Lighting Effect Connection type: 3.5mm TRRS + USB,"Current Price: Rs.2,699, Original Price: Rs.3,499",Fantech Portal HQ55 Gaming Headset,Headphone,Fantech,Black,Wired Gaming Headset,280gr,n/a,n/a,no,1 Year,,,20 Hz – 20 kHz,Wired,2 meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-trinity-mh88-gaming-headset.html,https://www.neostore.com.np/assets/uploads/MH88_2.jpg,https://www.neostore.com.np/assets/uploads/MH88.jpg,https://www.neostore.com.np/assets/uploads/MH88_2.jpg,https://www.neostore.com.np/assets/uploads/MH88.jpg,Fantech Trinity MH88 Gaming Headset,Speaker Driver: Ф50mm Multi-Platform Compatibility Wire Length: 2m Comfortable Ear Cups,"Current Price: Rs.2,999, Original Price: Rs.4,999",Fantech Trinity MH88 Gaming Headset,Headphone,Fantech,Black,Wired Gaming Headset,280 g,n/a,n/a,-,1 Year,,"LIGHTWEIGHT BUT DURABLE With only 280gr weight. but still flexible and incredibly durable. Battle-tested to withstand the rigors of pro-gaming. NOISE CANCELLING MICROPHONE Featuring a noise-cancelling microphone, Trinity MH88 ensures superior audio input for your gaming experience. ",-,-,2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fantech-valor-mh86-gaming-headset-.html,https://www.neostore.com.np/assets/uploads/mh86_2.jpg,https://www.neostore.com.np/assets/uploads/mh86.jpg,https://www.neostore.com.np/assets/uploads/MH86.jpg,https://www.neostore.com.np/assets/uploads/MH86_3.jpg,Fantech Valor MH86 Gaming Headset,Foldable Microphone Adjustable Steel Headband Adjustable earcup angle lightweight but durable Made for next-generation console Multi-Platform Compatibility,"Current Price: Rs.4,399, Original Price: Rs.8,999",Valor MH86,Headphone,Fantech,Black,Wired,280grams,-,-,-,1 Year,,"Adjustable Headband The lighter cover securely around your ears prevents overheating, and the adjustable headband supports a variety of head sizes. The metal frame headset is also strong and long-lasting, allowing you to utilize it for extended periods of time. Soft Earmuffs Fantech expanded the ear cushions in contrast to other gaming headsets to provide your ears with greater protection and passive noise separation. The increased comfort of the over-ear padding reduces hearing loss and heat perspiration. It will keep you comfy even if you wear it all day. Soft Head Beem Pad The entire frame is made of breathable foam padding, making it very comfortable and durable. This allows you to enjoy your games online, music, and movies without even noticing you're wearing a headset. Bass Surround Sound Clean and powerful sound comes from on-ear headphones with high-accuracy drive units. It produces a fantastic and spectacular sound when gaming, which assists in capturing your opponent before they see you. You can plainly hear footsteps and gunfire in the game environment. Effortlessly Volume Control The suppliers to offer long Cable is efficiently prevented from twining by a Power cord with a rotary volume controller and key microphone mute. It also allows you to manage the volume and mute the microphone with a one-key mute. The anti-winding braided USB cable is simple to connect as well as use. Microphone The upgraded noise isolating microphone may be able to pick up your speech with more sensitivity, allowing you to enjoy high-quality music or movies.",20Hz~ 20kHz,-,2 Meters,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
